#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s
 20260913    13:22:10       0     11     38      -      0     20      0      0      0      0    405    180      0      0    756     46      0      -      -      0     21      2
 20260913    13:22:11       0     11     38      -      1     15      0      0      0      0    405    202      0      0    756     46      0      -      -      0      0      1
 20260913    13:22:12       0     11     38      -      0     26      0      0      0      0    405    217      0      0    756     46      0      -      -      0      0      1
 20260913    13:22:13       0     11     38      -      0     21      0      0      0      0    405    180      0      0    756     46      0      -      -      0      0      0
 20260913    13:22:14       0     11     38      -      0     14      0      0      0      0    405    187      0      0    756     46      0      -      -      0      0      0
 20260913    13:22:15       0     11     38      -      0     14      0      0      0      0    405    202      0      0    756     46      0      -      -      0      0      0
 20260913    13:22:16       0     11     38      -      0     13      0      0      0      0    405    180      0      0    756     46      0      -      -      0      0      0
 20260913    13:22:17       0     11     38      -      0      9      0      0      0      0    405    187      0      0    756     46      0      -      -      0      0      0
 20260913    13:22:18       0     11     38      -      0     24      0      0      0      0    405    202      0      0    756     46      0      -      -      0      0      0
 20260913    13:22:19       0     11     38      -      0      9      0      0      0      0    405    180      0      0    756     46      0      -      -      0      0      0
 20260913    13:22:21       0     11     38      -      0     14      0      0      0      0    405    187      0      0    756     46      0      -      -      0      0      1
 20260913    13:22:22       0     11     38      -      0     10      0      0      0      0    405    202      0      0    756     46      0      -      -      0      0      0
 20260913    13:22:23       0     17     39      -      6      0      0      0      0      0  13801    772      0      0   2366     48      0      -      -      0   2271    164
 20260913    13:22:24       0     41     39      -      8      0      0      0      0      0  13801   2580      0      0   3906     48      0      -      -      0   1877   1345
 20260913    13:22:25       0     49     40      -      0      0      0      0      0      0  13801   2887      0      0   7068     48      0      -      -      0      0      0
 20260913    13:22:26       0     50     40      -      0      0      0      0      0      0  13801   2887      0      0   7068     48      0      -      -      0      0      2
 20260913    13:22:27       0     42     39      -      0      0      0      0      0      0  13801   2565      0      0   7068     48      0      -      -      0      0      0
 20260913    13:22:28       0     41     40      -      0      0      0      0      0      0  13801   2565      0      0   7068     48      0      -      -      0      0      1
 20260913    13:22:29       0     40     40      -      0      0      0      0      0      0  13801   2565      0      0   7068     48      0      -      -      0      0      0
 20260913    13:22:30       0     40     40      -      0      0      0      0      0      0  13801   2565      0      0   7068     48      0      -      -      0      0      1
 20260913    13:22:31       0     40     40      -      0      0      0      0      0      0  13801   2565      0      0   7068     48      0      -      -      0      0      0
 20260913    13:22:32       0     41     40      -      0      0      0      0      0      0  13801   2572      0      0   7068     48      0      -      -      0      0      1
 20260913    13:22:33       0     40     40      -      0      0      0      0      0      0  13801   2565      0      0   7068     48      0      -      -      0      0      1
 20260913    13:22:34       0     40     40      -      0      0      0      0      0      0  13801   2565      0      0   7068     48      0      -      -      0      0      1
 20260913    13:22:35       0     40     40      -      0      0      0      0      0      0  13801   2565      0      0   7068     48      0      -      -      0      0      0
 20260913    13:22:36       0     40     40      -      0      0      0      0      0      0  13801   2572      0      0   7068     48      0      -      -      0      0      2
 20260913    13:22:37       0     40     40      -      0      0      0      0      0      0  13801   2565      0      0   7068     48      0      -      -      0      0      0
 20260913    13:22:38       0     41     40      -      0      0      0      0      0      0  13801   2572      0      0   7068     48      0      -      -      0      0      1
 20260913    13:22:39       0     40     40      -      0      0      0      0      0      0  13801   2572      0      0   7068     48      0      -      -      0      0      0
 20260913    13:22:40       0     40     40      -      0      0      0      0      0      0  13801   2565      0      0   7068     48      0      -      -      0      0      1
 20260913    13:22:41       0     40     40      -      0      0      0      0      0      0  13801   2565      0      0   7068     48      0      -      -      0      4     10
 20260913    13:22:43       0     40     40      -      0      0      0      0      0      0  13801   2572      0      0   7068     48      0      -      -      0      4      2
 20260913    13:22:44       0     20     39      -      0      7      0      0      0      0    810    420      0      0   7124     48      0      -      -      0     11      7
 20260913    13:22:45       0     41     40      -      0      0      0      0      0      0  13801   2587      0      0   7188     48      0      -      -      0      1      0
 20260913    13:22:46       0     44     40      -      0      0      0      0      0      0  13801   2662      0      0   7208     48      0      -      -      0      1     12
 20260913    13:22:47       0     40     40      -      0      0      0      0      0      0  13801   2565      0      0   7208     48      0      -      -      0      0      0
 20260913    13:22:48       0     44     41      -      0      0      0      0      0      0  13801   2580      0      0   7338     48      0      -      -      0     15      8
 20260913    13:22:49       0     72     45      -      0      0      0      0      0      0  13801   2850      0      0   7766     48      0      -      -      0     40     13
 20260913    13:22:50       0     92     43      -     39     18      0      0      0      0  13801   2827      0      0   7886     48      0      -      -      0     81     14
 20260913    13:22:51       0     97     42      -     25     14      0      0      0      0  13801   2842      0      0   7886     48      0      -      -      0     70     13
 20260913    13:22:52       0    100     44      -     27     10      0      0      0      0  13801   2857      0      0   7886     48      0      -      -      0     95     21
 20260913    13:22:53       0     92     44      -     33     15      0      0      0      0  13801   2880      0      0   7886     48      0      -      -      0    556     11
 20260913    13:22:54       0     99     44      -     21     11      0      0      0      0  13801   2872      0      0   7886     48      0      -      -      0    102     15
 20260913    13:22:55       0     97     44      -     28     11      0      0      0      0  13801   2850      0      0   7886     48      0      -      -      0     72     17
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s
 20260913    13:22:56       0    101     45      -     42     17      0      0      0      0  13801   2872      0      0   7886     48      0      -      -      0     53      1
 20260913    13:22:57       0     93     43      -     13      8      0      0      0      0  13801   2842      0      0   7886     48      0      -      -      0    102     18
 20260913    13:22:58       0     94     45      -     39     16      0      0      0      0  13801   2872      0      0   7886     48      0      -      -      0     60     14
 20260913    13:22:59       0     97     44      -     31     14      0      0      0      0  13801   2872      0      0   7886     48      0      -      -      0    139     21
 20260913    13:23:00       0    106     45      -     30     13      0      0      0      0  13801   2872      0      0   7886     48      0      -      -      0    598     34
 20260913    13:23:02       0    142     51      -     75     31      0      0      0      0  13801   2872      0      0   7886     48      0      -      -      0    695     28
 20260913    13:23:03       0    179     50      -     78     35      0      0      0      0  13801   2872      0      0   7886     48      0      -      -      0    659     40
 20260913    13:23:04       0    182     52      -     76     35      0      0      0      0  13801   2872      0      0   7886     48      0      -      -      0    189     34
 20260913    13:23:05       0    182     50      -     81     37      0      0      0      0  13801   2872      0      0   7886     48      0      -      -      0    189     71
 20260913    13:23:06       0    184     53      -     78     35      0      0      0      0  13801   2865      0      0   7886     48      0      -      -      0    173     62
 20260913    13:23:07       0    183     53      -     82     34      0      0      0      0  13801   2865      0      0   7886     48      0      -      -      0    665     38
 20260913    13:23:08       0    182     53      -     78     34      0      0      0      0  13801   2865      0      0   7886     48      0      -      -      0    181     33
 20260913    13:23:09       0    182     54      -     80     34      0      0      0      0  13801   2865      0      0   7886     48      0      -      -      0    202     35
 20260913    13:23:10       0    181     51      -     76     35      0      0      0      0  13801   2865      0      0   7886     48      0      -      -      0    184     69
 20260913    13:23:11       0    182     53      -     78     34      0      0      0      0  13801   2865      0      0   7886     48      0      -      -      0    693     30
 20260913    13:23:12       0    181     53      -     76     36      0      0      0      0  13801   2865      0      0   7886     48      0      -      -      0    692     33
 20260913    13:23:13       0    183     53      -     80     35      0      0      0      0  13801   2865      0      0   7886     48      0      -      -      0    201     34
 20260913    13:23:14       0    183     53      -     79     33      0      0      0      0  13801   2865      0      0   7886     48      0      -      -      0    180     58
 20260913    13:23:15       0    183     53      -     81     36      0      0      0      0  13801   2865      0      0   7886     48      0      -      -      0    155     62
 20260913    13:23:16       0    182     55      -     77     35      0      0      0      0  13801   2865      0      0   7886     48      0      -      -      0    645     28
 20260913    13:23:17       0    183     53      -     79     36      0      0      0      0  13801   2865      0      0   7886     48      0      -      -      0    140     36
 20260913    13:23:18       0    182     55      -     77     35      0      0      0      0  13801   2865      0      0   7886     48      0      -      -      0    196     33
 20260913    13:23:19       0    183     54      -     84     37      0      0      0      0  13801   2865      0      0   7886     48      0      -      -      0    180     70
 20260913    13:23:20       0    182     56      -     78     34      0      0      0      0  13801   2865      0      0   7886     48      0      -      -      0    685     32
 20260913    13:23:21       0    184     54      -     80     36      0      0      0      0  13801   2865      0      0   7886     48      0      -      -      0    218     35
 20260913    13:23:23       0    135     46      -     14      1      0      0      0      0  13801   2872      0      0   7886     48      0      -      -      0      1   2297
 20260913    13:23:24       0     53     44      -     21      1      0      0      0      0  13801   2872      0      0   7886     48      0      -      -      0      8      3
 20260913    13:23:25       0     46     44      -      0      0      0      0      0      0  13801   2572      0      0   7886     48      0      -      -      0      0      0
 20260913    13:23:26       0     41     43      -      0      0      0      0      0      0  13801   2572      0      0   7886     48      0      -      -      0     18      2
 20260913    13:23:27       0     41     43      -      0      0      0      0      0      0  13801   2565      0      0   7886     48      0      -      -      0      0      0
 20260913    13:23:28       0     41     43      -      0      0      0      0      0      0  13801   2565      0      0   7886     48      0      -      -      0      0      0
 20260913    13:23:29       0     41     43      -      0      0      0      0      0      0  13801   2572      0      0   7886     48      0      -      -      0      0      0
 20260913    13:23:30       0     41     42      -      0      0      0      0      0      0  13801   2565      0      0   7886     48      0      -      -      0      0      0
 20260913    13:23:31       0     41     42      -      0      0      0      0      0      0  13801   2565      0      0   7886     48      0      -      -      0      0      0
 20260913    13:23:32       0     41     42      -      0      0      0      0      0      0  13801   2572      0      0   7886     48      0      -      -      0      0      0
 20260913    13:23:33       0     41     42      -      0      0      0      0      0      0  13801   2565      0      0   7886     48      0      -      -      0      0      0
 20260913    13:23:34       0     41     42      -      0      0      0      0      0      0  13801   2565      0      0   7886     48      0      -      -      0      0      0
 20260913    13:23:35       0     41     42      -      0      0      0      0      0      0  13801   2572      0      0   7886     48      0      -      -      0      0      2
 20260913    13:23:36       0     41     41      -      0      0      0      0      0      0  13801   2572      0      0   7886     48      0      -      -      0      0      0
 20260913    13:23:37       0     40     41      -      0      0      0      0      0      0  13801   2565      0      0   7886     48      0      -      -      0      0      3
 20260913    13:23:38       0     41     41      -      0      0      0      0      0      0  13801   2565      0      0   7886     48      0      -      -      0      1      0
 20260913    13:23:39       0     40     41      -      0      0      0      0      0      0  13801   2565      0      0   7886     48      0      -      -      0      0      0
 20260913    13:23:40       0     40     41      -      0      0      0      0      0      0  13801   2565      0      0   7886     48      0      -      -      0      1      1
 20260913    13:23:41       0     22     40      -      0      8      0      0      0      0    810    420      0      0   7886     48      0      -      -      0      1      1
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s
 20260913    13:23:42       0     12     40      -      0      9      0      0      0      0    405    262      0      0   7886     48      0      -      -      0      0      0
 20260913    13:23:43       0     12     40      -      0     16      0      0      0      0    405    180      0      0   7886     48      0      -      -      0      0      0
 20260913    13:23:44       0     11     39      -      0     19      0      0      0      0    405    180      0      0   7886     48      0      -      -      0      0      0
 20260913    13:23:46       0     11     39      -      0     11      0      0      0      0    405    195      0      0   7886     48      0      -      -      0      0      0
 20260913    13:23:47       0     11     39      -      0     22      0      0      0      0    405    180      0      0   7886     48      0      -      -      0      0      0
 20260913    13:23:48       0     11     39      -      0     12      0      0      0      0    405    180      0      0   7886     48      0      -      -      0      1      2
 20260913    13:23:49       0     11     39      -      0     22      0      0      0      0    405    180      0      0   7886     48      0      -      -      0      0      0
 20260913    13:23:50       0     11     39      -      0      8      0      0      0      0    405    180      0      0   7886     48      0      -      -      0      0      0
 20260913    13:23:51       0     11     39      -      0     10      0      0      0      0    405    180      0      0   7886     48      0      -      -      0      0      2
 20260913    13:23:52       0     11     39      -      0     13      0      0      0      0    405    180      0      0   7886     48      0      -      -      0      0      0
 20260913    13:23:53       0     11     39      -      0     17      0      0      0      0    405    187      0      0   7886     48      0      -      -      0      0      0
 20260913    13:23:54       0     11     39      -      0     23      0      0      0      0    405    180      0      0   7886     48      0      -      -      0      0      0
 20260913    13:23:55       0     11     39      -      0     22      0      0      0      0    405    180      0      0   7886     48      0      -      -      0      0      0
 20260913    13:23:56       0     10     39      -      0     19      0      0      0      0    405    210      0      0   7886     48      0      -      -      0      0      0
 20260913    13:23:57       0     11     39      -      0     19      0      0      0      0    405    180      0      0   7886     48      0      -      -      0      0      0
 20260913    13:23:58       0     11     39      -      0     23      0      0      0      0    405    180      0      0   7886     48      0      -      -      0      1      2
 20260913    13:23:59       0     10     39      -      0     27      0      0      0      0    405    195      0      0   7886     48      0      -      -      0      0      0
 20260913    13:24:00       0     11     39      -      0     21      0      0      0      0    405    202      0      0   7886     48      0      -      -      0      0      0
 20260913    13:24:02       0     11     39      -      0     12      0      0      0      0    405    180      0      0   7886     48      0      -      -      0      0      1
 20260913    13:24:03       0     11     39      -      0     20      0      0      0      0    405    195      0      0   7886     48      0      -      -      0      0      0
 20260913    13:24:04       0     11     39      -      0     15      0      0      0      0    405    240      0      0   7886     48      0      -      -      0      0      2
 20260913    13:24:05       0     11     39      -      0     27      0      0      0      0    405    187      0      0   7886     48      0      -      -      0      0      0
 20260913    13:24:06       0     11     39      -      0     20      0      0      0      0    405    202      0      0   7886     48      0      -      -      0      0      2
 20260913    13:24:07       0     11     39      -      0     32      0      0      0      0    405    225      0      0   7886     48      0      -      -      0      1   1793
 20260913    13:24:08       0     40     40      -      0      0      0      0      0      0  13801   2565      0      0   7886     48      0      -      -      0      0      1
 20260913    13:24:09       0     40     40      -      0      0      0      0      0      0  13801   2565      0      0   7886     48      0      -      -      0      0      0
 20260913    13:24:10       0     40     40      -      0      0      0      0      0      0  13801   2565      0      0   7886     48      0      -      -      0      0      0
 20260913    13:24:11       0     40     40      -      0      0      0      0      0      0  13801   2572      0      0   7886     48      0      -      -      0      0      0
 20260913    13:24:12       0     40     40      -      0      0      0      0      0      0  13801   2565      0      0   7886     48      0      -      -      0      6      0
 20260913    13:24:13       0     40     40      -      0      0      0      0      0      0  13801   2565      0      0   7886     48      0      -      -      0      0      0
 20260913    13:24:14       0     41     40      -      0      0      0      0      0      0  13801   2580      0      0   7886     48      0      -      -      0      0      4
 20260913    13:24:15       0     75     42      -     19      8      0      0      0      0  13801   2767      0      0   7886     48      0      -      -      0    195     29
 20260913    13:24:16       0    182     50      -     75     35      0      0      0      0  13801   2872      0      0   7886     48      0      -      -      0    705     30
 20260913    13:24:17       0    180     51      -     82     34      0      0      0      0  13801   2872      0      0   7886     48      0      -      -      0    141     41
 20260913    13:24:18       0    181     51      -     80     36      0      0      0      0  13801   2872      0      0   7860     46      0      -      -      0    149     34
 20260913    13:24:19       0    181     52      -     78     34      0      0      0      0  13801   2872      0      0   7860     46      0      -      -      0    198     68
 20260913    13:24:20       0    181     52      -     79     33      0      0      0      0  13801   2872      0      0   7860     46      0      -      -      0    177     56
 20260913    13:24:21       0    182     52      -     75     35      0      0      0      0  13801   2872      0      0   7860     46      0      -      -      0    648     27
 20260913    13:24:22       0    181     52      -     78     34      0      0      0      0  13801   2865      0      0   7860     46      0      -      -      0    632     30
 20260913    13:24:23       0    183     52      -     80     37      0      0      0      0  13801   2865      0      0   7860     46      0      -      -      0    633     35
 20260913    13:24:24       0    182     53      -     80     36      0      0      0      0  13801   2865      0      0   7860     46      0      -      -      0    131     34
 20260913    13:24:25       0    185     53      -     83     37      0      0      0      0  13801   2865      0      0   7860     46      0      -      -      0    181     72
 20260913    13:24:26       0    183     55      -     78     34      0      0      0      0  13801   2865      0      0   7860     46      0      -      -      0    220     29
 20260913    13:24:28       0    183     53      -     81     34      0      0      0      0  13801   2865      0      0   7860     46      0      -      -      0    708     31
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s
 20260913    13:24:29       0    180     53      -     70     33      0      0      0      0  13801   2865      0      0   7860     46      0      -      -      0    696     32
 20260913    13:24:30       0    182     54      -     73     32      0      0      0      0  13801   2865      0      0   7860     46      0      -      -      0    142     41
 20260913    13:24:31       0    184     53      -     81     38      0      0      0      0  13801   2865      0      0   7860     46      0      -      -      0    219     70
 20260913    13:24:32       0    183     55      -     77     33      0      0      0      0  13801   2865      0      0   7860     46      0      -      -      0    178     63
 20260913    13:24:33       0    184     52      -     80     36      0      0      0      0  13801   2865      0      0   7860     46      0      -      -      0    705     30
 20260913    13:24:34       0    183     54      -     78     33      0      0      0      0  13801   2865      0      0   7860     46      0      -      -      0    177     33
 20260913    13:24:35       0    185     54      -     80     35      0      0      0      0  13801   2865      0      0   7860     46      0      -      -      0    180     64
 20260913    13:24:36       0    182     54      -     79     32      0      0      0      0  13801   2865      0      0   7860     46      0      -      -      0    701     32
 20260913    13:24:37       0    182     53      -     77     36      0      0      0      0  13801   2865      0      0   7860     46      0      -      -      0    171     33
 20260913    13:24:38       0    183     54      -     80     35      0      0      0      0  13801   2865      0      0   7860     46      0      -      -      0    227     32
 20260913    13:24:39       0    184     54      -     79     37      0      0      0      0  13801   2865      0      0   7860     46      0      -      -      0    150     62
 20260913    13:24:40       0    184     55      -     81     34      0      0      0      0  13801   2865      0      0   7860     46      0      -      -      0      5   7460
 20260913    13:24:41       0     73     45      -     11      1      0      0      0      0  13801   2872      0      0   7860     46      0      -      -      0      1   3473
 20260913    13:24:42       0     51     44      -      0      0      0      0      0      0  13801   2820      0      0   7860     46      0      -      -      0      0      0
 20260913    13:24:43       0     41     44      -      0      0      0      0      0      0  13801   2565      0      0   7860     46      0      -      -      0      0      2
 20260913    13:24:44       0     41     44      -      0      0      0      0      0      0  13801   2565      0      0   7860     46      0      -      -      0      0      1
 20260913    13:24:45       0     41     43      -      0      0      0      0      0      0  13801   2572      0      0   7860     46      0      -      -      0      0      2
 20260913    13:24:46       0     41     43      -      0      0      0      0      0      0  13801   2565      0      0   7860     46      0      -      -      0      8      2
 20260913    13:24:47       0     41     43      -      0      0      0      0      0      0  13801   2565      0      0   7860     46      0      -      -      0      0      2
 20260913    13:24:48       0     41     43      -      0      0      0      0      0      0  13801   2572      0      0   7860     46      0      -      -      0     15      4
 20260913    13:24:50       0     41     43      -      0      0      0      0      0      0  13801   2565      0      0   7860     46      0      -      -      0      0      2
 20260913    13:24:51       0     41     43      -      0      0      0      0      0      0  13801   2572      0      0   7860     46      0      -      -      0      0      1
 20260913    13:24:52       0     41     42      -      0      0      0      0      0      0  13801   2565      0      0   7860     46      0      -      -      0      0      0
 20260913    13:24:53       0     41     42      -      0      0      0      0      0      0  13801   2572      0      0   7860     46      0      -      -      0      0      0
 20260913    13:24:54       0     41     42      -      0      0      0      0      0      0  13801   2565      0      0   7860     46      0      -      -      0      0      0
 20260913    13:24:55       0     41     42      -      0      0      0      0      0      0  13801   2565      0      0   7860     46      0      -      -      0      0      0
 20260913    13:24:56       0     41     42      -      0      0      0      0      0      0  13801   2565      0      0   7860     46      0      -      -      0      0      1
 20260913    13:24:57       0     41     42      -      0      0      0      0      0      0  13801   2565      0      0   7860     46      0      -      -      0      0      0
 20260913    13:24:58       0     41     42      -      0      0      0      0      0      0  13801   2565      0      0   7859     44      0      -      -      0      0      0
 20260913    13:24:59       0     35     41      -      0      0      0      0      0      0    810   1410      0      0   7859     44      0      -      -      0      0      1
 20260913    13:25:00       0     14     40      -      0     15      0      0      0      0    810    337      0      0   7861     46      0      -      -      0      0      0
 20260913    13:25:01       0     11     40      -      0     13      0      0      0      0    405    180      0      0   7861     46      0      -      -      0      1      2
 20260913    13:25:02       0     10     40      -      0     15      0      0      0      0    405    195      0      0   7861     46      0      -      -      0      0      0
 20260913    13:25:03       0     11     40      -      0     22      0      0      0      0    405    195      0      0   7861     46      0      -      -      0      0      0
 20260913    13:25:04       0     11     40      -      0      9      0      0      0      0    405    187      0      0   7861     46      0      -      -      0      0      0
 20260913    13:25:05       0     11     39      -      0     16      0      0      0      0    405    180      0      0   7861     46      0      -      -      0      1      2
 20260913    13:25:06       0     10     39      -      0     19      0      0      0      0    405    195      0      0   7861     46      0      -      -      0      0      1
 20260913    13:25:07       0     11     39      -      0     23      0      0      0      0    405    195      0      0   7861     46      0      -      -      0      0      0
 20260913    13:25:08       0     11     39      -      0     24      0      0      0      0    405    180      0      0   7861     46      0      -      -      0      0      2
 20260913    13:25:10       0     11     39      -      0     18      0      0      0      0    405    210      0      0   7861     46      0      -      -      0      1      0
 20260913    13:25:11       0     11     39      -      0     18      0      0      0      0    405    187      0      0   7861     46      0      -      -      0      0      1
 20260913    13:25:12       0     11     39      -      0     10      0      0      0      0    405    210      0      0   7861     46      0      -      -      0      0      1
 20260913    13:25:13       0     11     39      -      0     14      0      0      0      0    405    202      0      0   7861     46      0      -      -      0      0      0
 20260913    13:25:14       0     11     39      -      0     14      0      0      0      0    405    217      0      0   7861     46      0      -      -      0      0      0
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s
 20260913    13:25:15       0     11     39      -      0     24      0      0      0      0    405    187      0      0   7861     46      0      -      -      0      0      0
 20260913    13:25:16       0     11     39      -      0     12      0      0      0      0    405    210      0      0   7861     46      0      -      -      0      0      0
 20260913    13:25:17       0     11     39      -      0     18      0      0      0      0    405    232      0      0   7861     46      0      -      -      0      6      1
 20260913    13:25:18       0     12     39      -      1     11      0      0      0      0    405    180      0      0   7861     46      0      -      -      0      1      0
